球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,677,40.0%,147.7,61,89,152,219,44.6%,16.5%,.302,189,57,7,36,20,7
スライダー,265,15.7%,130.8,66,33,49,91,55.8%,46.8%,.189,53,10,4,28,9,0
フォーク,223,13.2%,135.4,60,18,39,81,52.5%,48.4%,.244,45,11,2,21,2,0
チェンジアップ,133,7.9%,126.8,35,15,19,46,51.9%,48.6%,.269,26,7,0,9,1,0
カットボール,122,7.2%,137.1,25,15,19,40,48.4%,37.3%,.286,28,8,3,6,0,1
ツーシーム,92,5.4%,143.4,16,8,26,24,54.3%,26.7%,.350,20,7,0,2,2,1
カーブ,65,3.8%,116.0,9,15,7,27,47.7%,39.1%,.222,9,2,0,2,0,0
スプリット,46,2.7%,140.5,17,6,5,14,60.9%,65.4%,.000,17,0,0,13,1,0
縦スライダー,22,1.3%,131.0,8,2,3,7,59.1%,61.5%,.200,5,1,0,3,1,0
ナックルカーブ,16,0.9%,127.4,2,1,1,9,25.0%,33.3%,.333,3,1,0,0,0,0
シュート,10,0.6%,145.8,2,1,5,1,80.0%,25.0%,.000,1,0,0,0,0,0
シンカー,8,0.5%,132.8,2,1,2,3,62.5%,50.0%,.000,1,0,0,1,0,0
パワーカーブ,6,0.4%,127.8,3,0,1,2,66.7%,75.0%,.000,2,0,0,2,0,0
高速スライダー,4,0.2%,138.8,0,0,0,4,0.0%,-%,-,0,0,0,0,1,0
スクリュー,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
