球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
京セラD大阪,.246,55,201,179,22,44,9,1,5,70,27,55,16,1,2,0,4,0,0,1,.308,.391,0.7
みずほPayPay,.250,11,36,32,3,8,1,0,2,15,3,13,2,0,1,0,1,0,0,1,.306,.469,0.774
エスコンＦ,.308,11,42,39,5,12,0,1,2,20,6,12,1,0,1,0,1,0,0,0,.333,.513,0.846
ZOZOマリン,.158,11,44,38,1,6,0,0,0,6,1,9,4,0,1,0,1,1,0,0,.250,.158,0.408
楽天モバイル,.226,8,36,31,7,7,0,0,3,16,3,6,4,0,1,0,0,0,0,0,.333,.516,0.849
ベルーナドーム,.310,8,32,29,3,9,2,0,1,14,3,11,3,0,0,0,0,0,0,1,.375,.483,0.858
Pa その他,.350,6,27,20,3,7,1,0,3,17,9,8,5,0,2,0,0,0,0,0,.519,.850,1.369
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.400,3,12,10,2,4,2,0,0,6,0,1,1,0,1,0,0,0,0,0,.500,.600,1.1
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,.333,3,13,12,1,4,0,0,0,4,1,5,1,0,0,0,0,0,0,1,.385,.333,0.718
バンテリンドーム,.273,3,12,11,1,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,.333,.273,0.606
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
