NOI474.0,GPA.256,RC57.62,RC274.99,XR59.41,XR275.14,RCAA12.83,XR+14.09,RCWIN1.48,XRWIN1.63,BABIP.327
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.073,11.97,3.70,0.167,25.06,0.264,0.718,1.88,38.9%,
