左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.1% (135),49.1% (135),49.1% (135),19.3% (53),19.3% (53),19.3% (53),31.6% (87),31.6% (87),31.6% (87)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
56.8% (50),87.5% (14),41.5% (71),20.5% (18),6.3% (1),19.9% (34),22.7% (20),6.3% (1),38.6% (66)
