左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
45.5% (20),45.5% (20),45.5% (20),25.0% (11),25.0% (11),25.0% (11),29.5% (13),29.5% (13),29.5% (13)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.3% (3),100.0% (1),47.1% (16),33.3% (3),0.0% (0),23.5% (8),33.3% (3),0.0% (0),29.4% (10)
