球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,131,39.8%,146.8,7,32,30,48,52.7%,13.7%,.182,22,4,0,8,0,0
スライダー,69,21.0%,130.8,10,17,10,22,53.6%,33.3%,.188,16,3,0,6,2,0
カットボール,31,9.4%,137.0,6,6,5,7,54.8%,33.3%,.000,11,0,0,4,0,0
フォーク,24,7.3%,135.4,6,0,3,11,37.5%,46.2%,.286,7,2,0,3,0,0
カーブ,19,5.8%,111.7,2,5,2,9,47.4%,40.0%,.000,3,0,0,2,0,0
ツーシーム,18,5.5%,137.4,3,2,4,5,50.0%,27.3%,.200,5,1,1,1,0,0
チェンジアップ,15,4.6%,131.6,2,1,4,6,46.7%,25.0%,.000,4,0,0,2,0,0
ナックルカーブ,10,3.0%,129.3,1,3,1,3,50.0%,25.0%,.000,2,0,0,0,0,0
シュート,8,2.4%,147.2,0,1,1,5,25.0%,0.0%,.000,1,0,0,0,0,1
スプリット,2,0.6%,133.0,0,1,0,1,50.0%,-%,.000,1,0,0,1,0,0
スローカーブ,1,0.3%,-,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.3%,132.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
