NOI242.8,GPA.130,RC0.40,RC270.17,XR0.91,XR270.39,RCAA-6.73,XR+-6.25,RCWIN-0.79,XRWIN-0.74,BABIP.205
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.07,0.034,37.50,2.78,0.069,72.00,0.083,0.266,0.00,40.0%,
