打率.230,試合74,打席221,打数187,得点13,安打43,内安1,内安率2.3,２Ｂ6,３Ｂ0,本塁1,HR勝敗0-0-1,塁打52,打点11,三振30
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
22,2,3,8,1,1,0,100.0,4,5,6,.156,.319,.278,.597
