アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,44,29.1%,安打,43,61.4%
フライ,70,46.4%,四死球,25,35.7%
空三振,22,14.6%,失策出塁,2,2.9%
見三振,8,5.3%,野選,0,0.0%
犠打,7,4.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
