アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,21,25.0%,安打,23,51.1%
フライ,31,36.9%,四死球,22,48.9%
空三振,24,28.6%,失策出塁,0,0.0%
見三振,7,8.3%,野選,0,0.0%
犠打,1,1.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
