NOI308.3,GPA.164,RC4.31,RC271.85,XR4.92,XR272.11,RCAA-3.57,XR+-3.05,RCWIN-0.41,XRWIN-0.35,BABIP.255
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.10,0.028,40.00,3.81,0.053,76.00,0.145,0.435,1.67,30.0%,
