NOI399.1,GPA.215,RC20.79,RC272.97,XR21.64,XR273.09,RCAA-3.72,XR+-3.16,RCWIN-0.43,XRWIN-0.37,BABIP.272
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.24,0.044,22.64,5.53,0.115,45.40,0.167,0.527,2.86,24.5%,
