守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.246,35,141,126,16,31,6,0,4,49,14,23,7,0,2,3,3,0,0,2,.290,.389,0.679
二塁手,.158,6,20,19,1,3,2,0,0,5,2,4,1,0,0,0,0,0,1,2,.200,.263,0.463
三塁手,.281,18,68,64,4,18,3,0,1,24,4,13,2,0,1,1,0,1,0,1,.313,.375,0.688
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.111,24,20,18,1,2,0,0,0,2,0,5,1,0,1,0,0,1,0,0,.200,.111,0.311
