NOI483.3,GPA.243,RC0.53,RC274.78,XR0.55,XR274.91,RCAA0.06,XR+0.07,RCWIN0.01,XRWIN0.01,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.150,5.00,1.67,0.000,-,0.250,0.667,-,80.0%,
