NOI266.7,GPA.140,RC-0.23,RC27-1.26,XR-0.23,XR27-1.24,RCAA-0.73,XR+-0.73,RCWIN-0.08,XRWIN-0.08,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.200,-,0.0%,
