HQS率0.0%,SQS率0.0%,被打率.267,被BABIP.300,被出塁率.371,被長打率.567,K/BB1.60,K/99.39,BB/95.87,HR/92.35,GO/AO1.33,援護率7.88,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.03,78.4%,-2.22,-0.26,-1.47,23,0.0,8,7,0.0,0,0,0,
