左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
25.0% (7),25.0% (7),25.0% (7),14.3% (4),14.3% (4),14.3% (4),60.7% (17),60.7% (17),60.7% (17)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
20.0% (2),- (0),27.8% (5),30.0% (3),- (0),5.6% (1),50.0% (5),- (0),66.7% (12)
