打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,11,3,0.273,0,3,1,0,0,0.333
2打席目,12,3,0.25,0,7,0,0,0,0.25
3打席目,7,0,0.0,0,2,3,0,0,0.3
4打席目,3,1,0.333,0,0,0,0,0,0.333
5打席目以上,1,0,0.0,0,1,0,0,0,0.0
