NOI402.6,GPA.208,RC4.36,RC273.36,XR4.28,XR273.30,RCAA-0.66,XR+-0.80,RCWIN-0.08,XRWIN-0.09,BABIP.357
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.092,10.20,3.00,0.044,-,0.178,0.543,0.00,43.1%,
