条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.256,332,309,79,9,1,5,55,13,2,6,2
対左投手,0.288,159,153,44,2,4,1,20,4,0,2,0
