HQS率-,SQS率-,被打率.300,被BABIP.397,被出塁率.382,被長打率.456,K/BB3.13,K/910.55,BB/93.38,HR/90.84,GO/AO0.54,援護率-,IPR2.67,NHB%27.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.02,85.6%,-0.07,-0.01,-0.79,114,5.2,0,0,21.1,8,6,16,
