球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,8.31,6,0,6,0,0,1,0,1,0,0,0,4.1,7,0,2,1,1,6,4,1.85,0.368,-,0.72
東京ドーム,9.00,3,0,3,0,0,0,0,0,0,0,0,3.0,5,1,1,2,0,3,3,2.33,0.357,-,1.00
甲子園,0.00,1,0,1,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,1,0,1.5,0.333,-,0.67
横浜,3.38,2,0,2,0,0,0,0,0,0,0,0,2.2,2,0,0,1,0,1,1,1.13,0.222,-,2.67
マツダスタジアム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,1.0,0.0,-,99.00
バンテリンドーム,4.50,2,0,2,0,0,0,0,0,0,0,0,2.0,3,0,1,0,0,1,1,1.5,0.333,-,2.00
Ce その他,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1.0,0.0,-,99.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,1.0,0.25,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
