球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,382,34.0%,147.4,15,76,68,130,41.6%,8.5%,.327,101,33,6,10,7,1
スライダー,158,14.1%,128.7,19,35,19,58,46.2%,29.2%,.257,35,9,1,8,1,0
カットボール,143,12.7%,136.9,6,24,23,50,37.1%,8.7%,.167,42,7,0,2,0,1
フォーク,120,10.7%,136.6,20,16,14,40,41.7%,31.3%,.317,41,13,0,11,3,0
チェンジアップ,87,7.8%,131.8,9,14,16,38,44.8%,25.7%,.214,14,3,0,4,5,0
カーブ,77,6.9%,118.5,4,21,7,40,41.6%,25.0%,.000,7,0,0,2,0,0
ツーシーム,64,5.7%,143.3,3,12,14,17,45.3%,8.6%,.250,20,5,0,2,2,0
スプリット,31,2.8%,140.4,7,2,1,11,32.3%,38.9%,.333,12,4,0,2,0,0
ナックルカーブ,23,2.0%,127.0,3,2,0,14,21.7%,42.9%,.000,5,0,0,1,0,0
シュート,19,1.7%,144.8,0,5,2,8,36.8%,0.0%,.250,4,1,0,0,1,0
シンカー,8,0.7%,132.4,0,1,0,3,12.5%,0.0%,.000,4,0,0,0,0,0
縦スライダー,6,0.5%,123.8,0,2,1,1,50.0%,0.0%,.500,2,1,0,0,0,1
スラーブ,2,0.2%,110.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パーム,2,0.2%,115.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
