NOI405.9,GPA.209,RC2.34,RC273.72,XR2.22,XR273.53,RCAA0.06,XR+-0.07,RCWIN0.01,XRWIN-0.01,BABIP.235
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.108,12.00,12.00,0.053,-,0.263,0.667,0.00,16.7%,
