防御率3.66,試合23,先発1,救援22,連投(試)0,連投(日)0,勝利1,敗戦1,HLD3,Ｓ0,ＨＰ4,ＳＰ1,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,32.0,138,518,16.2,32,1,18,13,3,2,2,0,13,13,1.41,0.0%
