HQS率0.0%,SQS率0.0%,被打率.267,被BABIP.307,被出塁率.348,被長打率.317,K/BB1.38,K/95.06,BB/93.66,HR/90.28,GO/AO0.79,援護率6.75,IPR2.23,NHB%27.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.14,74.6%,-1.11,-0.13,-2.19,136,8.1,4,3,29.0,13,6,17,
