球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,558,39.3%,147.1,14,146,92,205,45.2%,6.8%,.299,107,32,3,7,16,0
スライダー,204,14.4%,130.5,13,51,21,74,41.7%,16.5%,.314,51,16,1,7,5,1
カットボール,161,11.3%,137.6,9,35,33,58,47.8%,13.2%,.267,30,8,1,4,2,0
フォーク,136,9.6%,135.6,16,15,21,52,38.2%,23.2%,.238,42,10,0,10,2,0
チェンジアップ,91,6.4%,129.1,7,12,11,39,33.0%,17.5%,.269,26,7,0,4,0,0
ツーシーム,80,5.6%,140.3,5,25,12,25,52.5%,16.7%,.200,15,3,0,2,1,0
シュート,56,3.9%,144.6,3,15,9,16,48.2%,12.0%,.333,15,5,0,2,0,0
カーブ,53,3.7%,121.0,3,13,4,24,37.7%,18.8%,.333,9,3,1,0,0,0
スプリット,45,3.2%,138.6,7,6,11,12,53.3%,25.9%,.214,14,3,0,5,1,0
ナックルカーブ,14,1.0%,123.3,0,3,2,4,35.7%,0.0%,.200,5,1,0,0,0,0
シンカー,6,0.4%,133.8,0,0,0,4,0.0%,0.0%,.000,2,0,0,0,0,0
パワーカーブ,5,0.4%,124.8,1,1,0,2,40.0%,50.0%,.000,2,0,0,1,0,0
パーム,5,0.4%,112.4,0,0,1,1,20.0%,0.0%,.333,3,1,0,0,0,0
スラーブ,4,0.3%,120.3,0,2,0,2,50.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,90.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
