NOI465.0,GPA.248,RC39.10,RC274.26,XR38.31,XR274.17,RCAA5.64,XR+4.68,RCWIN0.66,XRWIN0.55,BABIP.302
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.67,0.058,12.57,8.38,0.112,53.50,0.199,0.626,0.00,21.6%,
