打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,80,24,0.3,1,8,5,0,0,0.341
2打席目,81,18,0.222,0,11,4,0,0,0.259
3打席目,75,20,0.267,4,10,8,0,2,0.329
4打席目,64,17,0.266,1,10,8,0,0,0.347
5打席目以上,11,7,0.636,0,1,2,0,0,0.692
