HQS率23.1%,SQS率23.1%,被打率.285,被BABIP.317,被出塁率.318,被長打率.410,K/BB3.20,K/95.51,BB/91.72,HR/90.80,GO/AO0.70,援護率3.90,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.28,70.4%,-9.56,-1.13,-6.13,275,0.0,83,36,0.0,0,0,0,
