条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,0,0,0,0,0,0,0,0,0,0,0,2
敗戦,3,3,7,1,3,0,3,0,0,0,0,0,20
勝敗無,6,1,1,6,1,1,0,0,0,0,0,0,16
