NOI399.5,GPA.207,RC8.34,RC273.09,XR8.87,XR273.28,RCAA-1.60,XR+-1.19,RCWIN-0.19,XRWIN-0.14,BABIP.268
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.73,0.086,9.18,6.73,0.047,-,0.200,0.529,0.00,25.7%,
