HQS率-,SQS率-,被打率.150,被BABIP.231,被出塁率.190,被長打率.250,K/BB7.00,K/910.50,BB/91.50,HR/90.00,GO/AO1.00,援護率-,IPR99.00,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
0.90,100.0%,2.23,0.26,2.03,18,0.0,0,0,6.0,0,1,5,
