球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,400,31.1%,146.9,21,72,88,118,45.3%,10.0%,.322,115,37,2,15,12,0
スライダー,214,16.6%,130.0,40,29,37,76,49.5%,36.7%,.158,38,6,2,7,3,0
フォーク,175,13.6%,134.7,52,11,22,63,48.6%,51.5%,.163,43,7,0,16,2,0
カットボール,128,9.9%,137.6,17,12,17,51,35.9%,26.2%,.364,33,12,1,3,1,0
チェンジアップ,96,7.5%,125.7,29,4,13,32,47.9%,48.3%,.143,28,4,1,11,3,0
スプリット,62,4.8%,136.4,26,0,9,18,56.5%,59.1%,.105,19,2,0,10,1,0
カーブ,61,4.7%,115.6,9,8,4,30,34.4%,39.1%,.100,10,1,0,0,1,0
ツーシーム,60,4.7%,145.4,4,13,11,15,46.7%,12.5%,.176,17,3,0,1,0,1
縦スライダー,25,1.9%,134.0,6,2,5,11,52.0%,50.0%,.000,1,0,0,0,0,0
シュート,25,1.9%,142.3,0,5,4,10,36.0%,0.0%,.143,7,1,1,1,0,0
ナックルカーブ,22,1.7%,123.7,1,4,1,14,27.3%,25.0%,.667,3,2,0,1,0,0
シンカー,15,1.2%,134.5,4,2,1,6,46.7%,57.1%,.000,2,0,0,0,0,0
スローカーブ,3,0.2%,94.0,1,0,0,2,33.3%,100.0%,-,0,0,0,0,0,0
パワーカーブ,2,0.2%,130.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
