NOI333.3,GPA.175,RC0.26,RC271.74,XR0.25,XR271.71,RCAA-0.23,XR+-0.24,RCWIN-0.03,XRWIN-0.03,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,0.000,0.333,-,40.0%,
