条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.379,61,58,22,5,1,3,0,0,1,2,0,0.39
1-0より,.333,30,27,9,0,0,0,0,0,2,0,1,0.367
2-0より,.286,7,7,2,0,0,0,0,0,0,0,0,0.286
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.286,43,42,12,5,0,0,0,0,0,1,0,0.286
1-1より,.347,50,49,17,0,1,0,0,0,0,1,0,0.347
2-1より,.233,30,30,7,2,0,1,0,0,0,0,0,0.233
3-1より,.500,19,10,5,1,0,1,0,9,0,0,0,0.737
0-2より,.200,35,35,7,1,0,0,12,0,0,0,0,0.2
1-2より,.230,75,74,17,4,0,3,18,0,1,0,0,0.24
2-2より,.288,59,59,17,2,0,0,13,0,0,0,0,0.288
3-2より,.222,54,45,10,1,0,2,12,9,0,0,0,0.352
