HQS率15.8%,SQS率15.8%,被打率.287,被BABIP.309,被出塁率.326,被長打率.413,K/BB2.50,K/94.54,BB/91.82,HR/90.83,GO/AO0.54,援護率3.91,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.64,70.8%,-13.49,-1.56,-16.19,387,0.0,115,50,0.0,0,0,0,
