NOI0.0,GPA.000,RC-0.62,RC27-2.81,XR-0.56,XR27-2.54,RCAA-1.21,XR+-1.16,RCWIN-0.14,XRWIN-0.13,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
