NOI150.8,GPA.080,RC-1.17,RC27-0.69,XR-0.62,XR27-0.36,RCAA-6.02,XR+-5.49,RCWIN-0.71,XRWIN-0.65,BABIP.071
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.11,0.063,17.00,1.89,0.071,42.00,0.143,0.200,0.00,60.8%,
