球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,193,38.8%,146.6,13,47,50,45,57.0%,12.9%,0.267,45,12,1,9,6,0
スライダー,89,17.9%,130.7,7,21,15,27,48.3%,17.1%,0.208,24,5,0,5,0,0
カットボール,47,9.5%,136.2,4,12,10,14,55.3%,19.0%,0.222,9,2,1,2,0,0
チェンジアップ,40,8.0%,129.1,2,9,3,20,35.0%,18.2%,0.143,7,1,0,1,0,0
フォーク,36,7.2%,133.8,3,6,7,12,44.4%,16.7%,0.5,8,4,0,0,0,0
ツーシーム,27,5.4%,139.5,3,5,5,11,48.1%,27.3%,0.0,4,0,0,1,0,0
シュート,21,4.2%,144.6,2,2,5,5,42.9%,14.3%,0.286,7,2,0,0,0,0
カーブ,20,4.0%,114.2,0,5,4,9,45.0%,0.0%,0.0,2,0,0,0,0,0
ナックルカーブ,7,1.4%,128.9,0,1,2,3,42.9%,0.0%,0.0,1,0,0,0,0,0
スプリット,7,1.4%,137.0,2,2,0,3,57.1%,100.0%,0.0,2,0,0,2,0,0
シンカー,5,1.0%,136.8,0,2,1,0,60.0%,0.0%,0.5,2,1,0,0,0,0
高速スライダー,5,1.0%,133.0,0,0,4,0,80.0%,0.0%,0.0,1,0,0,0,0,0
