打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,35,12,.343,2,6,0,0,0,0.343
2打席目,31,8,.258,0,6,4,0,0,0.343
3打席目,27,4,.148,0,4,2,2,0,0.207
4打席目,13,1,.077,0,3,1,0,0,0.143
5打席目以上,0,0,-,0,0,1,0,0,
