NOI398.8,GPA.212,RC9.87,RC272.96,XR9.74,XR272.92,RCAA-1.73,XR+-1.92,RCWIN-0.20,XRWIN-0.23,BABIP.278
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.051,15.25,6.10,0.080,56.00,0.152,0.500,0.00,24.6%,
