HQS率-,SQS率-,被打率.273,被BABIP.316,被出塁率.429,被長打率.364,K/BB0.75,K/94.76,BB/96.35,HR/90.00,GO/AO0.18,援護率-,IPR1.42,NHB%37.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.85,66.7%,-1.89,-0.22,-2.09,47,1.2,0,0,5.2,4,3,5,
