球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,130,43.8%,146.0,9,16,39,36,49.2%,11.5%,.229,35,8,0,8,2,1
スライダー,55,18.5%,130.4,16,7,9,14,58.2%,47.1%,.182,11,2,0,2,0,0
フォーク,45,15.2%,135.6,11,4,9,11,53.3%,36.7%,.200,15,3,0,5,1,0
チェンジアップ,19,6.4%,128.9,4,2,0,8,31.6%,44.4%,.167,6,1,0,1,0,0
カットボール,14,4.7%,136.6,1,1,3,6,35.7%,14.3%,.333,3,1,0,0,0,0
カーブ,13,4.4%,118.7,1,1,2,5,30.8%,14.3%,.500,4,2,0,0,0,0
スプリット,8,2.7%,137.8,1,0,1,4,25.0%,25.0%,1.000,2,2,0,0,0,0
ツーシーム,6,2.0%,141.0,0,1,0,2,16.7%,0.0%,.000,3,0,0,0,0,0
シンカー,3,1.0%,133.5,2,0,1,0,100.0%,66.7%,.000,2,0,0,2,0,0
スローカーブ,2,0.7%,89.0,0,0,2,0,100.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.3%,133.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
ナックルカーブ,1,0.3%,128.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
