打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,23,3,0.13,0,6,2,2,0,0.2
2打席目,23,6,0.261,0,6,2,0,0,0.32
3打席目,18,4,0.222,0,3,0,0,0,0.222
4打席目,7,2,0.286,0,0,0,0,0,0.286
5打席目以上,1,1,1.0,0,0,0,0,0,1.0
