NOI365.2,GPA.193,RC4.83,RC271.89,XR4.71,XR271.84,RCAA-3.84,XR+-4.06,RCWIN-0.44,XRWIN-0.47,BABIP.302
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.036,29.33,4.89,0.049,-,0.074,0.394,-,23.9%,
