HQS率-,SQS率-,被打率.226,被BABIP.314,被出塁率.313,被長打率.263,K/BB2.52,K/99.06,BB/93.59,HR/90.00,GO/AO1.38,援護率-,IPR4.39,NHB%27.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.03,82.1%,7.57,0.88,7.79,588,6.2,0,0,52.2,12,15,46,
