アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,54,35.5%,安打,43,63.2%
フライ,39,25.7%,四死球,24,35.3%
空三振,44,28.9%,失策出塁,1,1.5%
見三振,9,5.9%,野選,0,0.0%
犠打,6,3.9%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
