HQS率11.1%,SQS率11.1%,被打率.282,被BABIP.326,被出塁率.328,被長打率.385,K/BB2.81,K/96.39,BB/92.27,HR/90.67,GO/AO1.20,援護率3.62,IPR3.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.13,73.1%,-8.23,-0.95,-7.86,391,3.0,107,43,3.0,1,0,0,
