NOI245.1,GPA.135,RC1.95,RC270.66,XR1.91,XR270.64,RCAA-7.20,XR+-7.35,RCWIN-0.83,XRWIN-0.85,BABIP.186
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.07,0.010,93.00,6.20,0.094,-,0.106,0.301,-,17.2%,
