打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,23,1,.043,0,3,0,2,0,0.043
2打席目,24,4,.167,0,4,0,1,0,0.167
3打席目,18,2,.111,0,2,1,0,0,0.158
4打席目,6,3,.500,0,2,0,2,0,0.5
5打席目以上,0,0,-,0,0,0,0,0,
