アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,35,44.9%,安打,13,86.7%
フライ,21,26.9%,四死球,1,6.7%
空三振,12,15.4%,失策出塁,1,6.7%
見三振,3,3.8%,野選,0,0.0%
犠打,7,9.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
