NOI277.8,GPA.158,RC0.38,RC271.45,XR0.33,XR271.29,RCAA-0.39,XR+-0.43,RCWIN-0.05,XRWIN-0.05,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,4.00,0.167,-,0.167,0.400,-,25.0%,
