球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
京セラD大阪,.325,56,216,203,28,66,18,0,6,102,27,17,9,1,0,3,1,4,1,0,.352,.502,0.855
みずほPayPay,.219,10,35,32,2,7,0,0,1,10,1,1,1,0,1,1,0,1,1,0,.265,.313,0.577
エスコンＦ,.238,11,45,42,9,10,1,0,4,23,7,9,2,0,0,0,1,2,0,0,.267,.548,0.814
ZOZOマリン,.239,11,47,46,2,11,2,0,0,13,4,9,1,0,0,0,0,0,0,0,.255,.283,0.538
楽天モバイル,.390,10,46,41,6,16,2,1,0,20,6,3,3,0,0,1,1,3,0,0,.422,.488,0.91
ベルーナドーム,.296,7,27,27,5,8,1,0,1,12,2,5,0,0,0,0,0,0,0,0,.296,.444,0.741
Pa その他,.158,6,23,19,0,3,1,0,0,4,4,3,3,0,0,0,1,0,0,0,.261,.211,0.471
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.000,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,.286,3,7,7,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,.286,.429,0.714
バンテリンドーム,.000,2,8,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.125,.000,0.125
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
