NOI458.4,GPA.249,RC58.40,RC274.78,XR57.31,XR274.69,RCAA12.82,XR+11.19,RCWIN1.48,XRWIN1.29,BABIP.295
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.41,0.030,23.15,9.45,0.148,36.08,0.212,0.673,10.91,17.5%,
