球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,18,38.3%,144.4,0,4,4,7,44.4%,0.0%,0.667,3,2,0,0,2,0
フォーク,17,36.2%,134.6,1,1,4,8,35.3%,12.5%,0.5,4,2,1,1,0,0
スライダー,7,14.9%,120.7,0,3,0,2,42.9%,0.0%,1.0,1,1,0,0,0,0
ツーシーム,5,10.6%,143.4,0,1,0,1,20.0%,0.0%,0.0,3,0,0,0,0,0
