条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.417,39,36,15,3,0,3,8,2,0,1,0
対左打者,0.32,27,25,8,1,0,1,3,2,0,0,0
