HQS率66.7%,SQS率66.7%,被打率.176,被BABIP.241,被出塁率.246,被長打率.247,K/BB3.96,K/99.79,BB/92.47,HR/90.33,GO/AO1.06,援護率2.73,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.05,79.9%,22.82,2.64,20.28,591,0.0,175,53,0.0,0,0,0,
