防御率1.92,試合24,先発24,救援0,連投(試)0,連投(日)0,勝利10,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投5,完封3,無四球3
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,163.2,641,2550,15.6,101,6,178,45,0,10,3,0,38,35,0.89,66.7%
