球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,9,81.8%,145.7,1,2,1,2,44.4%,20.0%,0.333,3,1,0,0,0,0
スライダー,2,18.2%,122.5,0,0,0,1,0.0%,0.0%,1.0,1,1,0,0,0,0
