アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,17,45.9%,安打,13,56.5%
フライ,8,21.6%,四死球,10,43.5%
空三振,10,27.0%,失策出塁,0,0.0%
見三振,2,5.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
