条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.206,260,243,50,7,2,4,4,54,17,0,0,0,0.258
1塁,0.289,87,83,24,3,0,4,11,13,3,1,0,0,0.322
2塁,0.265,38,34,9,3,0,3,10,10,4,0,0,0,0.342
3塁,0.385,15,13,5,0,1,0,5,3,1,1,0,0,0.467
1・2塁,0.233,34,30,7,3,0,0,8,9,4,0,0,0,0.324
1・3塁,0.429,16,14,6,1,0,0,7,4,2,0,0,0,0.5
2・3塁,0.25,13,8,2,1,0,0,9,3,1,0,0,4,0.231
満塁,0.25,14,12,3,0,0,0,8,1,1,0,0,1,0.286
得点圏,0.288,130,111,32,8,1,3,47,30,13,1,0,5,0.354
