NOI419.9,GPA.226,RC47.79,RC273.74,XR49.28,XR273.86,RCAA2.45,XR+3.71,RCWIN0.29,XRWIN0.44,BABIP.284
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.34,0.053,14.45,4.92,0.130,39.73,0.204,0.579,3.38,29.6%,
