条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.299,210,197,59,11,1,10,29,11,0,2,0
対左打者,0.254,129,118,30,5,0,2,36,10,1,0,0
